WELL_ID,TOWN,STREET_NUMBER,STREET_NAME,Address,LATITUDE,LONGITUDE,DATE_COMPLETE,WELL_TYPE,WORKPERFORMED,TOTAL_DEPTH,DEPTH_TO_BEDROCK,WATER_LEVEL,Numeric Water Level
159899,Colrain,6-A,Dunnell Drive,6-A Dunnell Drive Colrain MA,42.70185,-72.775817,10/28/2009,Domestic,New Well,410,10,70,70
159900,Colrain,9,Dunnell Drive,9 Dunnell Drive Colrain MA,42.702767,-72.77525,10/16/2009,Domestic,New Well,140,15,10,10
159933,Colrain,29,Fort Lucas Road,29 Fort Lucas Road Colrain MA,42.665983,-72.673167,6/13/2010,Domestic,New Well,600,9,46,46
161628,Colrain,9,Dunnell Drive,9 Dunnell Drive Colrain MA,42.703267,-72.776,11/15/2010,Domestic,New Well,300,23,0,0
250749,Colrain,259,Wilson Hill Rd,259 Wilson Hill Rd Colrain MA,42.712333,-72.7437,11/1/2007,Domestic,New Well,320,15,20,20
251403,Colrain,48,Nelson Road,48 Nelson Road Colrain MA,42.6611,-72.635783,4/7/2008,Domestic,Replacement,245,46,20,20
251662,Colrain,,Nelson Rd, Nelson Rd Colrain MA,42.656362,-72.629319,5/14/2008,Domestic,New Well,460,4,45,45
252270,Colrain,17,Coombs Hill Road,17 Coombs Hill Road Colrain MA,42.641583,-72.67665,8/1/2008,Domestic,Deepen,560,,20,20
253443,Colrain,81,Wilson Hill Road,81 Wilson Hill Road Colrain MA,42.69095,-72.73615,9/2/2008,Domestic,Replacement,325,8,20,20
255216,Colrain,53,Adamsville Road,53 Adamsville Road Colrain MA,42.663033,-72.720133,11/5/2008,Domestic,New Well,325,67,20,20
261299,Colrain,2,Coombs Hill Road,2 Coombs Hill Road Colrain MA,42.64285,-72.674583,6/4/2009,Domestic,Deepen,605,,500,500
261299,Colrain,2,Coombs Hill Road,2 Coombs Hill Road Colrain MA,42.64285,-72.674583,6/4/2009,Domestic,Deepen,605,,52,52
265944,Colrain,56,East Colrain Road,56 East Colrain Road Colrain MA,42.66945,-72.655233,10/26/2009,Domestic,Hydrofracture,305,,18,18
267111,Colrain,87,Franklin Hill Road,87 Franklin Hill Road Colrain MA,42.7175,-72.697283,11/12/2009,Domestic,New Well,305,7,2,2
267794,Colrain,,Christian Hill Road, Christian Hill Road Colrain MA,42.724367,-72.758433,11/25/2009,Domestic,New Well,205,3,20,20
268222,Colrain,13,Bennett Galipo Drive,13 Bennett Galipo Drive Colrain MA,42.6588,-72.718383,11/19/2009,Monitoring,New Well,60,,43,43
600107,Colrain,22,VAN NUYS ROAD,22 VAN NUYS ROAD Colrain MA,,,8/23/2010,,,245,12,30,30
600117,Colrain,,CHRISTIAN HILL ROAD, CHRISTIAN HILL ROAD Colrain MA,,,8/1/2010,,,345,20,20,20
600209,Colrain,237,MAIN ROAD,237 MAIN ROAD Colrain MA,,,,,,,,,0
600360,Colrain,11,MERRIFIELD LANE,11 MERRIFIELD LANE Colrain MA,,,11/16/2010,,,545,7,13,13
600360,Colrain,11,MERRIFIELD LANE,11 MERRIFIELD LANE Colrain MA,,,11/16/2010,,,545,7,27,27
600958,Colrain,237,MAIN ROAD,237 MAIN ROAD Colrain MA,,,,,,,,,0
607701,Colrain,12,THIBODEAU DRIVE,12 THIBODEAU DRIVE Colrain MA,42.67003,-72.76542,6/18/2012,,Replacement,245,65,0,0
607743,Colrain,14,STACEY ROAD,14 STACEY ROAD Colrain MA,42.63867,-72.7351,6/20/2012,,New Well,185,32,51,51
617157,Colrain,299,JACKSONVILLE ROAD,299 JACKSONVILLE ROAD Colrain MA,42.7098,-72.70257,11/30/2012,,Replacement,305,31,30,30
617695,Colrain,,Dunnell Drive, Dunnell Drive Colrain MA,42.700818,-72.77575,12/15/2012,,New Well,222,27,20,20
623785,Colrain,14,Crosier Lane,14 Crosier Lane Colrain MA,42.70282,-72.77417,1/8/2013,,New Well,202,10,21,21
